text_code,sent,topic
"[  904     1     0 10814   138  1360   131    64  1354     3     0     2
    55   154     0  5457  2299     0   474     5     0   198     0     0
  5457    62     0  2295     0     0]",positive,amy schumer
"[    0    19     0  1097    28     0     3  4077     0     2 10843     0
     1     0    30     0  1551 10845    86    40   147     0    30     0
    96     0  2801  1420     0   995     0     6]",positive,amy schumer
"[    0  2976  2345     0 10872  1170     0     1     4  4074 10871    21
    67     3   611     5   402     8    31    35     0     7]",positive,amy schumer
"[  574     0  5410   132     0  1781     0   113     2 10870  2960    79
     0     0     0     8    27    32     0    20     1    11     0    99
     0     0   574     0]",positive,amy schumer
[  0  52  28 135 147  56  12   1   0   6],positive,amy schumer
"[    0    41     0     2    31  1927    39     2  1153     1     0     3
     0     0     0   964   272    53   184   191     0 10869     0    79
     0   317  2936   389     0     0     0     0]",positive,amy schumer
[10868   614     0     1  1258 10867    78    79     6   300     3],positive,amy schumer
"[    0  1570   709     0  1541  1975   112   335 10866     0   652   678
     4   904     1     0     0   129     0     2     0     0     0     0
     6     7]",positive,amy schumer
"[1424    0  320    0 2302 3005    1   12    0  961    0    2   13 1122
 1609  390  709    0    6]",positive,amy schumer
"[ 180 2404    8    2   40   35    0   30    0  120  427    0    0   30
    0    1  656    0   19    2 2759   59  865    0 5352 4225 4223    5
    0]",positive,amy schumer
"[ 2302  2768  5399     1    12     0   961     4     0 10865     0  1916
     0     2  1609   390   709     0   254     5     0]",positive,amy schumer
"[    0  2302  2768     0     1    38 10864     0     2   823  1926     0
    20     2 10863    87     0     0     0     6     7     7]",positive,amy schumer
"[   84    10   282     0 10862    14     0     0   100   946   113     1
     4  1288  1580     4 10861    16  2906     0   197     0   944]",positive,amy schumer
[  2  85 377   0 250  27   0  14   0  38   0  20   1   0 559],positive,amy schumer
"[   0  113    0    0 2404    0    0    8    2   40   35   12    0  664
    0 1153    0    0    0   50    1    0    7    7    7]",positive,amy schumer
"[    0   113     0   904     1     0     8     2    31    35     0    59
     0   614     0  5477     0   885     0   320     0     0     0    30
     0 10860    12     0  5478  4254     0    41  5570     0     0     0
  2774     0     0]",positive,amy schumer
"[113   1   8   2  31  35   0   0   0 614   0   0 349  17  72 693 342   0
 577   0 322]",positive,amy schumer
"[  113     1     0   135     0     2 10859   266     0     0   132     8
    33    43     3  2134     3]",positive,amy schumer
"[    0   113     2 10858     0     0     0 10857     0     0     0     0
     8     2    13    35    56     4     0     0    18     0     0   203
 10856 10855   212   802    29     1     0     0]",positive,amy schumer
"[  99  764    0    0    0   24    0    0 2840    0  194  187    0  261
    0    2  290   12  382    0    0 1080    8    1    0    0  552  367
 4144    0    0    3]",positive,amy schumer
"[   0   43    0  161    0  834 5510    4  981 2764    0   49  501 2133
    0    1    0    2 1805 2136    0  212    0    0    0    0   60    0]",positive,amy schumer
"[  54   19    2   51    0   52   28  135    0 1826    0    1    0    5
    0    0 3027  545   12    0    0    6]",positive,amy schumer
"[  54  281    0    2   82    1  105    0   52    0  189   54   76    0
 1306    0  357    0    0   37    0    0    6]",positive,amy schumer
"[    0    25  2241     0     1     4  5894 10854   184  1561   275 10853
    33     0     2  1609   390   709     0    12     0     0     0     6]",positive,amy schumer
"[   0    0  116    0    0    0    0    0    1    0    0    0  199    3
    0    0  279  577  334    0   30    0    0   50   70    0   30    0
  937    0 2672 1127    0  149   71   29   15    0]",positive,amy schumer
"[  18  194  377    0   50    1    4   87    0    0  845    0    2 1710
    0    0    6    6]",positive,amy schumer
"[   0   71 5497 5481    0    1   10    0    2  363  128    0    2  610
 1025    8 3062 5486    0    0  138    0    0    0    6]",negative,ant-man
"[   1   19    2   31   35    0  256    0  409    8    0  610  390    0
  416 2666  824    0    2  390   19   18   41  166 5480    0  256    0
  149    0   20  194    0]",negative,ant-man
[   0 1565    0    1   10   17  749    0   19  224  242  551   42    7],negative,ant-man
"[   0   71 5497 5481    0    1   10    0    2  363  128    0    2  610
 1025    8 3062 5486    0    0  138    0    0    0    6]",negative,ant-man
"[    0  5487     5     0  5487     5  2658     5   110     5     0   180
     1     0     0   118    26    17     0 10852 10851     0     0     0
    58     0     0     0     0     0     6]",negative,ant-man
"[ 377  117    1   10   17    0 5539    0    0    0  245  610    0    0
 1135 5538    0   19    0 4189    0]",negative,ant-man
"[   0  451 4184    0   40  819    0    1   18 2223    0 4183    0    0
 1771    4    2  740    0   88  183    0    0    0  621   15  482  584
    0    0 2705    0 1952    0    0]",negative,ant-man
"[  2  85 377   0   0 113   1   0 386   0   5   0 129  15   0 548 322   9
  94   0  80   0 170]",negative,ant-man
"[    3    22     0 10850   334 10849   387     2   583  1189     0     0
     1     0     0     0     0     6]",positive,ant-man
"[    0     7     0     0   194     0   237  2987     0  5526     0     8
     2     0     0     1     0     0  1055  1954     0  6314 10848     0
   143     0     5     5    12     5     5  2973     0     2    13     0
     0]",positive,ant-man
"[   0    7    0    0  194    0  237 2987    0 5526    0    8    2    0
    0    1    0    0 1055 1954    0 6314   62    0  143    0    5    5
   12    5    5 2973    0    2   13    0    0]",positive,ant-man
"[  0   0   0   0   0   0   0 763  15  52   0   0  76  50   0  20   1   0
  16   0   0  26 122 610  29   0   0   0   0   0 295   0   0 102  17   0
 162   0   0 238   0   0]",positive,ant-man
"[   0    0    0    0    0    0    0  272    1   19   32    0    2  736
    8    2  763   52   16    0 1549  142    2 1112    0    0  249   34
    0  288    0    4   14    0    0    0]",positive,ant-man
"[    0    48    35     0 10847    12   298     0     0     0  2939     5
  1667     8     1     0  2939     0     0     0     6]",positive,ant-man
"[   5  231   73   46    0  370    0  853    0    2 2144    4    0  355
  245 2944    0  226  345    0  113    3    1    0   60  124    0]",positive,ant-man
"[   3    0    0   74  177    0   73  140    0   30    0    0    0   27
    0   20    1  128    0 1555    0   58    0   20    0    0 1039    0]",positive,ant-man
"[    3   180     1     0  3036 10846     5     0  6282   555     0     0
    31    35     0     2  1667     0     0    69  1378     8     0   791
     4     0     0]",positive,ant-man
"[    0     3    87     0     0     5     5     0     0     0    22     0
   280    14    35    16 10844     0     0     0   550   136     0    10
    80     1    56     0]",positive,ant-man
"[   3    0  240  180    1    0  129    0   19    0   42    0   30    0
 2154  176    0  607    2 6203  137 2805]",positive,ant-man
"[   3    0    0   27    0   20    1   11    0    0 2812    0   76 1582
  106  112    0 2884   75  113   15    0    0    0    0]",positive,ant-man
"[  3   3   3  18 296   2 105   0  69 105   0 663   0 545   0   0  37   1
   0  20   0  60]",positive,ant-man
"[    3     1    19     7     8     2    40   324   187 10812     0     0
   146    45    15    72    71 10782     0     0     6]",positive,ant-man
"[  3   0   0   0   0 370 433  16   0 296   1   0   0  19 234   4  69 462
   0  22   0  94   8   2  40  41   0]",positive,ant-man
"[    0     3     0  2798     0     0    89     9   607     1     0 10811
   129     0    21    23     0    30     0  2127    22     0   427    87
     0   514     0     6]",positive,ant-man
"[   0    3    0  281    0   20 2102 2100 6230  948   56    0    0   88
  607    0    0   17    0  249    0    0    0  258    0   20    1   11
    0    0]",positive,ant-man
"[    0     3     0    96   719 10779    43     0   296   115   195    19
 10778     0     0   125     0     0   878     1    76     0    42    75
    31  1085     0]",positive,ant-man
"[   0    3    9  548  860    0    0    1   19    0   40  299 1761    5
 4169  123   75 2094 1550    0]",positive,ant-man
"[   3  530    0  418    0   20    1  579    4    2    7 1085  374  141
    0   31   35  191    0    0  166 2105    0    7]",positive,ant-man
"[   0    3  276   20    1    0    2  763   11    0    0    0    0   89
    9  255   49 2277    0    0    0 4201    9   25    0    0    0]",positive,ant-man
"[    0     3    65    34     0   355 10777     0  2094  1550     4     1
     0  4247  2095  6211     0 10776     0   278     0     9    10     0
   123     0     0]",positive,ant-man
"[   0    3    3    0    0    0 1756    8   11    0    2 4231    0    2
  173    0    1   19  379    0   38    0  132    0]",positive,ant-man
"[   3   53   34   69  860    0   53    0    0    0   17   41   39    2
    1 1767  156   11    0    0   58    0 4204    2 3002 1308    0]",positive,ant-man
"[   0    3  395    0    1 4205    0  474    4   70 1577    0   16    0
    0   62    0  112  128  109    0 1049    0 6274    0 1416    0    0]",positive,ant-man
"[    0     3  1576     0 10775   228    10    50     2   362     0     0
    16  1133     0   103    25  1304     0     1    19   223     0  6287
     0  5992     0    26    15     0     0]",positive,ant-man
"[    0     3     3     0     0     0    53    63     0    42     8   116
     0    25     0    29     1     0  1563 10774    76   162   977 10773
     2 10772     0]",positive,ant-man
"[   0    3  395    0    0   24    0  281    4  180  164  453  103  491
   37    0    0    1    4 6007    0    0   96    0   42   35    0    7]",positive,ant-man
"[    0     3   766   379     0 10771     0    81     0    10     0    20
     1   120    11     0     9     0   523     0     0]",positive,ant-man
"[    0     3     0     0   102    20     1    11     0    22     0    94
     0     0     9 10770     0     0     0   253  1555   157     0     0]",positive,ant-man
"[    0     3     0     0  1576     0  1176  2027  1584     0     2    31
   128     0   882    80     1     0 10769     0     0]",positive,ant-man
"[    0     3   621     0    20     1    11    28     0     2 10768     0
 10767     0     0     0   771     0     0    72 10766     4     0   242
    42     0     0]",positive,ant-man
"[    3     9     4     0   285     0    19 10765     0     3    37    13
   746  1900    75     1]",positive,ant-man
[   3    0    9   58    0   20    1    0 1630    0],positive,ant-man
[  3   0 364 251   0  27   0  20   1   0  24 141  53 703 278],positive,ant-man
"[    3    50  2094  1550     0  4138   515    48   386     0   138 10764
     0     2  2438     0    16     0    96   124   125   223    12     1
     0]",positive,ant-man
"[   0    3    0  240  180    1    0  129    0   88  607    0    0    2
  128   19    0   42    0   30    0 2154    0   30    0    0  607    2
 6203  137 2805    0]",positive,ant-man
"[  0   3  83 120   0  15   0 156  39   2 378  54  18 180   1   8   2  48
  35   0]",positive,ant-man
"[   3   10   62    0   32   65    0 2989    0    0    0    0  226  345
    0    1    4  262    0    0  912  288    0]",positive,ant-man
"[    0     3     0   643     0     9   255     1     4 10763     9     0
    25   175     0    35    43     9   662    11     0]",positive,ant-man
"[    0     3     3     3     0     0     0  1885     0     2 10762  2608
     0 10761     0     2  6029    11     8     1     0  1996     0    11
     0     0]",positive,ant-man
"[   0  461  129   28  128   12 6128   56    0    0    0  281    0   20
    1    0    0   19  125  112  109    0   96 2644    0    0  269  260
  206 4348    0]",positive,ant-man
"[  176    42   273     0     0     0    27     0     0    20     1    11
     0 10760]",positive,ant-man
"[    1     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0  1289     0     0   100
     0    30     0    78     0     0     5   198   337 10759     0     0
     5   198     0  4288    12     2  6103  2620     0     0     0     6]",positive,ant-man
"[   0  176   11    0    6    9    0  282    0  650    0    1    0   14
    0  123 1804    0    0  224  180    0   55  390    0    2  763    0
    0]",positive,ant-man
"[    1     0  3036   763 10758     0     0    33   700     0     0    69
   949     0    42   390     0    17     0    20     0   120   386   567
     3   824]",positive,ant-man
"[    0     1  1016    29     0  2542    31  1684     0     2   610  1025
     0 10757  2095   137     0   233     0   276    19     0  1421     0
     0   174     0    21   468     0     0]",positive,ant-man
"[    0     1  1293    29     2    31  6135   128     5     0     0    14
     0    42     0     0   104   197    29     5  1112 10756  1354   753
   245     0    26     0    42     0    16    26   183   597     0]",positive,ant-man
[  1   0  87 220   2  13   0   0   7   7   6],positive,ant-man
"[    0     1     0   797     0     0   589    68  1559    36  1805     0
  1673   359    10   224     0     0     0     0    62    65     8     0
   377     0    61     0 10755    66     0     0]",positive,ant-man
"[   1    0   41    0    2 2076  610  453    0    0  296    0  400   32
   86 4340  179  650    0    6    6]",positive,ant-man
"[    0     1    10    17 10754     4 10753  6035     0    16     0     0
     0   364   287     0   223     0     0     0     2   372     5  2162
     0  2878     0     0]",positive,ant-man
"[    0     1  4301    11    28     0 10780     0     0  2858    39     2
  6091    14    19     0     0  3065     0     0     0     0]",positive,ant-man
[  1 650 156  11  89   0  20   9  21 130   0   7   7],positive,ant-man
"[   0    1  408   79    0    0    5    0    0 4267  198  753   28    0
    5    0   30    0    5 3361    0    0   44 2560    0  192   13    0
    0    0    0    0 3360    0    0    0    6]",positive,ant-man
"[    1   408    79     0   812   760   177     0     5   198 10752     0
    30     0     0  4024     0     0    20     9     0     2   453     0
     0     0     6]",positive,ant-man
"[   1  642    0  486  187    0    2  143    0    2  762  670    0    0
    0  218    0   10   26    0 2161    0    0    0    0    6  300    3]",positive,ant-man
[  1  11 500   4   0 574   0  58   0 162 711 635   0 570 176   0   0],positive,ant-man
"[   0    1   11    0  226  345    0    0    0   16   84 1588 1448    0
    8    0    0    0]",positive,ant-man
"[   0    1   19  656    0  904   32   19 6075    0   47    0   69  154
    8  453    0  384    0  463   56    0   18  100    0    2  763    0
    0]",positive,ant-man
[  1  19 106 112   2  40  35],positive,ant-man
"[   0    1   19  719    0    0  402    0   20    0   16  256    0   38
    2  426  225 1630   28    0    0   19  441    0  223  128    0    1
    0 6072    0    0  926    0    0]",positive,ant-man
"[   0    1   19    0    0  463    2 1104    0   82  412 6069    0   40
  412   69    0 4330   19  224    0   42 4330    0    0]",positive,ant-man
"[   1   19    0    0  270  234   16  610 1163    8  319    0 1310  220
    2 1693 2666    0   20    2   40  173 1698  824    0]",positive,ant-man
"[    0     1     0  2182     0    11     0   904    32     0 10781 10783
     4  4356  1052     0     0  1108     0     2   187     0     7]",positive,ant-man
"[   0    1    0  163   42 4361    0  258   17    0    0   80    0   33
   28    0]",positive,ant-man
"[   0    1 3321 1197  680  762  670    0  610 1104 4169    0    0    1
    0    0 2528 4481    2    0  762  670   33    0    0    0    0    0
    6]",positive,ant-man
"[    0     1    19    42   565     0     4 10810     0     2   248    54
   998    37     2    40   735   824     0     2   173     0     2   128
     0     9     0   246  1682     0     0]",positive,ant-man
[964  58   0  20   1  11   0],positive,ant-man
"[   0 1440    0    0    0   27    0    2 1555   11    0   80    1    0
    0    0   88  132    0    0    0    0    0    0]",positive,ant-man
[ 64  39   1   8   2  40  35   0  50  14 390   0],positive,ant-man
"[    0    64     0   140    11     0    73     0     2   763     0   240
    80     1    12  1439     0   262    42   353     0   891     0     0
   610     0     0     0     0     0   102     0 10809     0     0]",positive,ant-man
"[   0   72    0  200 1113 2535    0   18   46  163    0   20    1    0
    0    4    0    0    0 1052    0    0    0  581   31    0    0 3330
    6]",positive,ant-man
"[    0    72     0  2069  1722   187     0    82   191     1     0     2
   763     0    46  2147 10808     0   317     0     0   742    12   708
  2069     0    30     0   616     0     7]",positive,ant-man
"[   51   323     0     1     0    68 10807  4442     0 10806   857     0
    36   791  2138     0    70  1442   289    12     0  1547    78  1819
     0]",positive,ant-man
"[  762   670     0     1  4541     0  2404    12     0     5     5  1002
    24     8     0     0     5     0     0     0     0     0     0 10805
     6]",positive,ant-man
"[    0 10804     0     0     1     0   516   762   670     8    40   205
    12     0     5     5  1002 10803     0 10802    32     0  3065     0
     0     0 10801     6]",positive,ant-man
"[    0  1005    94     0    20     1     4  1824    12     3    11     0
     0   149    15 10800     0  2282     0     0]",positive,ant-man
"[ 2004     0     0  1112    11    12    40    80     0     1     0  1039
     0    83    31    80     0 10799     4  1824     7     7     6]",positive,ant-man
"[   0 2004    0    0  453  141   53  703 1555    0    0 2404   19    0
   42    0  195  301    0    0    0    0   11    0    1    0    0]",positive,ant-man
"[ 1107     0  4690     8 10798     0   250     1     0     2     7   128
     8     0    40   205    12     0 10797     0     5     5  1002   126
     0     0     7]",positive,ant-man
"[4767    0 1346   12    2 4770  300  610  453   12  194 4729   52  244
    0    0  139  614    1    0    7]",positive,ant-man
"[    0    61     0   434    21  1112   141   198    34    18     0 10796
     8    21     0     0 10795   177     0     0   760    85     0   283
    46     4   255     1     0     0     0     0     6]",positive,ant-man
"[ 4597   701     0    11    16     0    61     0    63     0     0    58
     0   534     0   263     0    20     0     0     5     0     0     0
     0    43     0    22    20 10794     0     1     0     0   729    35]",positive,ant-man
[  0 965  15  60   0  17   9 249 610   0   0   0   1   0   0 293   0   6],positive,ant-man
"[ 392    5    0    1    2 4321    0   32   46    0  698    9   97  225
  392    5 3368    0  169    0    6]",positive,ant-man
"[   0 1590    0    2 1578    5    1   45   72  970  122    0 4599    0
    3    4    0    0   32   11    0    7    7]",positive,ant-man
[711 635  11  25   0   0   0  42   0   1   0   0  17   0  20],positive,ant-man
"[  372   592     8  3065     0    30     0     1    34    60     0   731
   169     0 10793     2  4287     0    30     0    60     0   711   635
     0]",positive,ant-man
"[   0  240   27    0   20    1   79    0   83   73    0   20 2590  948
  597   11    0   33    0  226  345    0  285    0    0]",positive,ant-man
[ 240   27    0   80    1   11    3  138   62  163   42 1869    7],positive,ant-man
"[  240    74   280     0    20     1     4   540   463     0     0   269
   131     0  2275    73     0 10792    52     0]",positive,ant-man
"[   0   38  800    0   24    4   21    0   22   81   37 2599    0    0
    0    0    0    2  763    0   80    1    0  124  265   42  226 1112
  156   32    0]",positive,ant-man
"[  27    0    7   11    0  388 1991    2  762  670  378    0  162    0
    0  321  212    4  121    0   22   20    1    0  486   35  542    0]",positive,ant-man
[ 27   0   0  20   1   0  44 114   0   0  17   2  51 145   0],positive,ant-man
[27  0  0 20  1 11 89  0  0 42],positive,ant-man
"[    0    27     0    20     1    56     8     2    33  2560     0    18
   149     0   343     2  2585  4347     0     2 10791     4     0     0
    42     0     0     0     0     0     0]",positive,ant-man
"[    0    27     0     2   453    11     0    80  1824     0  1422 10790
     0  1174  2603     4    83     1   120     0     0]",positive,ant-man
"[   0  102    0    0    2  694   15  205    0   52  159 1210    0    0
 1647    0  370    4   80    1    0  386  290    0    0  214   20    0
    0    0]",positive,ant-man
[102  94 225  11   0  20   1   4 126   0   0  12   0   0],positive,ant-man
"[   74     0    50   257   576  2605   231     0 10789     0    64     0
 10788     0     0    11     0   141     1     0]",positive,ant-man
"[  69    0   20   78  378    0   77  231    0    1    0    0   69    0
   59 4098 2460  730    0    0    2  123  158    3    0    0    0    6]",positive,ant-man
"[    0  1635     0    99     0   444     0   257   635  1120 10787  1056
  3293     0     0     1     0     0   400    32     2   549    11     0
     6]",positive,ant-man
"[    0    96     0  3309 10786  1902    37  4641     0     1     0  1673
   359     0     0    30     0     2  2438     0     0    14     0    26
     0  1816   169     0    83    47     0     0     0]",positive,ant-man
"[   96     2   426     0   240    20   285     2   711   635     4     1
     0     0     0    10 10785     0     0  4553     0     0     0   166
   353     0    90    39  1559 10784     0]",positive,ant-man
"[   0    0    0    0 2198 3387    0  309    0    0    0  564   66    0
    1    0 1289    8    2   77   35   11    0    6    6]",positive,ant-man
"[  307  2024     0     0     9    29   453     0    83   344     0    11
     0 10873     5     0     5     5     0     8     1     0     2   128
   408     0     5     5     0     0    20     9    83     0]",positive,ant-man
"[    0     3    68     2 10874     0    49    55     3   190   156   476
     0     0    11     0     0   478     0    80     0     0     1  2235
    87    11]",positive,ant-man
"[    0     0     0   144     0    20     1    56     0     0     0     0
   144    20     2   135  1104   605     0 10875   128     0  4048    11
     0     0     0     0     0]",positive,ant-man
[  0 259 191   1  79   8   2  48  35   0   0   0   0   0],positive,ant-man
"[    0     0    61     0    63    47     0     0    71   132    37     0
     0   347     0    55 10906  1661     0   191     1     0  2225   156
   170    39  3347    11     0     0     0     0]",positive,ant-man
"[    0   725    82     0 10965    43     0   180     1    79     0     0
    81     0    10    17  4042     0     7     7]",positive,ant-man
"[    0     0    74     5  3307     0    24     0     0  1338     0     0
     4    80   711   635     0    80     1     0   120     0     0     0
    80  2102  2100  2590 10964     0]",positive,ant-man
"[   0    0   96    0   88   69   35  113    1    0 2111    0    0    2
   31   35  113 2095  137    0    0  174    2  821 2466    0  741   54
    0    0    0]",positive,ant-man
"[    0     0    96    15   942     0    29   388     5    56     4   444
   851     0   416     0     0     0     6     0  2112 10963     0     1
     0 10962     4    71     0     0]",positive,ant-man
"[    0    17     0  3354  4691     0   469     4     0   474  4680     0
     2 10961   798   248   142   409   358     2   173     0     0  3405
     8     1     0     0    22     0     0]",positive,ant-man
"[   0    0   10    0  433    0   15  315    0   16    1    0    0   69
  128    0 2197 1561    0  143 1754    0    2  610 4667 1025    0    0
  256    0 1544   14    0]",positive,ant-man
"[   0  149    0   38    0  263   11    4  240   20    1    0    0    0
 1374  763   85   45   41  938    4    0    0   18   75  198    0]",positive,ant-man
"[   0  893    0   20    2  711    5  128  129    0    0  281    0   20
 1243    0 3002    4    1    2   60   28  141    0]",positive,ant-man
"[   0    0  180    1    0   24   28    0   16 4698    0    2  938    0
 4203    0   20    2 1546    0 2269  938   12 4213 2498    0    6]",positive,ant-man
"[  0 118   0  80   1  11 115   0  88  58   0  80   0   4  17 293   0  20
   0   0]",positive,ant-man
"[   0   81    2   51 3383  667 4208   10    0    0    1    0    0   96
    0  992  362    0]",positive,ant-man
"[    0    58     0  4206     0     1 10960     8    15 10959     0    21
    39     3   559   762     0   360     0   523     6]",positive,ant-man
[  0 296   1   8   2  48  35  56   0],positive,ant-man
"[   0    0   76  121    0    1    0  276    0  299  128    0    2  154
    0  384   12    0    0 2590  948    0    0  139  515   40    0]",positive,ant-man
"[   0    0  173    2 1553    0  183  453   11   43    0    0    0    1
  120]",positive,ant-man
"[   0    0    0 2120  379    0    0   20    1    0   16    0  168    0
    0   32  225  192    5   87    0    0]",positive,ant-man
"[    0     0     0    27     0    20     1     0   169     0     5   192
     5     0     5     5     0  5339     0     0 10958   603     6     7]",positive,ant-man
"[    0     0  1250     0   391     2    55 10957     0     2   336     0
     1     0    23   263     0     0     0    10   106    17     0   202
     8   397    11     0]",positive,ant-man
"[  0   0   0  22 742  15 372  79   0   0   0   0 539   0 240  20   1  11
  75 140   0   0]",positive,ant-man
"[   0    0  197    0    0   27    0 1766    0 1244  400    0   10  340
    4   20    1]",positive,ant-man
"[    0     9   527     1     9    10   255   932     4     2 10956     0
  4165     0     2   364 10955 10954  4520     0     0     6]",positive,ant-man
"[   0    0    9    0  319 4522   37    1    0   18    0    4   20    0
    0    9  168    0    0 1181    0    0   10   26    0    0  380  821
    0   16    2  128    0   42    0]",positive,ant-man
[2097   18    0  564    0 2560    0    1    0  429   11  157],positive,ant-man
"[    0   245   273     0   180     1     0     0    10    17     0   355
 10953    16     0   540   463     0     0     0   614     4     2   821
     0   656]",positive,ant-man
"[   0    0  245  273    0   22    0   94    0   20    1   11   28    0
  500    0    0   47    0 1544    0]",positive,ant-man
"[  309     0    14    47     0   994  1694 10952   335    66     0     1
   516   762   670     8    40   205    12     0     5  1333     3     6]",positive,ant-man
"[   0  585    2  292    0    0  145   10   18    0 4523  103    0   80
    1   12    0    0]",positive,ant-man
"[  0   0   0 194  33  12 393 763 935   0   0 405 127   8 904  32   4   1
   7   0 283   0   6]",positive,ant-man
"[   0    0    0 1229    0  240   38    0    0   20    1   11    0    0
   82  246   23   73    0    5  524    0    0    0 2081    0    0 2799
    0  610  948    0    0    0]",positive,ant-man
[  0   0   2  82   0 192   4 468  73  42  12   1   0],positive,ant-man
"[   18   427   429 10951     0  2069   137 10950 10949 10948     0     0
     0    10     0   528    37     1   124   125     0     0     0  1867
   278     0]",positive,ant-man
"[  18  180    1    0    2 2170    8    2   48   35    0    0    0    0
   62  337   69    0]",positive,ant-man
"[  77   23    8    1    0    0 2102 2100 2590  948 2235  760    0    0
    0    0    0 2169   12   15  128    0    0   61    0  238    0    0
    6]",positive,ant-man
"[    0   303    29     1     0   102   236     7     8     2    40   324
   205     0    26     0   998     0   176  1304     2     0     5  1002
  1055     0    26   124 10947     0     0     0     0     0     0     0
     0     0]",positive,ant-man
