Processed	sent	topic
thistopc and jerry seinfeld headline a show in support of the numbrth anniversary of baby buggy httpaddr via twitteraddr	positive	amy schumer
thistopc will be here friday &amp; i want to go!	positive	amy schumer
thistopc's honest post may actually inspire you to strip down: httpaddr httpaddr	positive	amy schumer
"""and my toughest final is tomorrow, it's cumulative, and i've been watching thistopc and the office all night instead of studying"""	positive	amy schumer
can't wait to see thistopc with twitteraddr tomorrow!	positive	amy schumer
"""demi lovato praises thistopc on numbr pirelli calendar photo: on thursday night, the comedian spoke ... httpaddr topc"	positive	amy schumer
did you know that 'thistopc' was trending topic on monday numbr for numbr hours in united states? httpaddr topc	positive	amy schumer
"""done with ahs till wednesday &amp; finished inside thistopc, now what?"""	positive	amy schumer
"""for those that wanna see inside thistopc's golden globes , it may happen! topc httpaddr"	positive	amy schumer
"""from my numbrnd family, katherine m., a student in nyc, got an internship with thistopc...now that's cool."""	positive	amy schumer
going to see thistopc in nashville tonight. but don't worry i got your epl plays over on twitteraddr httpaddr	positive	amy schumer
i get to see thistopc live tomorrow. i'm literally the luckiest girl on planet earth	positive	amy schumer
i just want it to be saturday so thistopc can make me laugh and feel good about my life compared to hers.	positive	amy schumer
"""i think i may have just fell in love with twitteraddr after watching """"thistopc: live...extended cut"""" on twitteraddr"	positive	amy schumer
"""i'm just really excited for my comedy filled day tomorrow... thistopc live and john mulaney on netflix?! thank you, america."""	positive	amy schumer
inside thistopc is scorching its merry way back onto twitteraddr in the new year. snumbr begins on jan numbr at numbrpm. (snumbr still on demand.)	positive	amy schumer
it was a wild night at twitteraddr jazz at the bistro. thistopc &amp; cast dug our numbrnd set &amp; had a comedy jam- epic! httpaddr	positive	amy schumer
"""kerry washington, viola davis, thistopc and jill soloway all make twitteraddr power numbr list for numbrst time. topc"	positive	amy schumer
kind of equally excited at staying in watching the soup finale tonight as i am for going out to see thistopc tomorrow. well...kind of	positive	amy schumer
on saturday night live set today with thistopc! httpaddr	positive	amy schumer
"""one of the numbrst jokes from the hilarious thistopc at twitteraddr """"if anybody thought they were seeing 'godspell' tonight, maybe exit left."""""""	positive	amy schumer
outrageously funny: thistopc plays mohegan sun tonight httpaddr via twitteraddr	positive	amy schumer
"""pga awards tv nominations include better call saul, mad men and inside thistopc: on tuesday, the ... httpaddr topc"	positive	amy schumer
photos: beautiful! selena presenting thistopc with an award at the numbrth annual hollywood film awards! httpaddr	positive	amy schumer
saw trainwreck for the numbrnd time &amp; again found it &amp; thistopc brilliant as was the screenplay she wrote. mel brooks agreed.numbr%	positive	amy schumer
selena gomez presented thistopc with an award and a heap of praise at the hollywood film awards on november numbr.	positive	amy schumer
"""selena gomez, thistopc get cuddly on the red carpet: see the cuteness here!:  httpaddr topc topc"	positive	amy schumer
some may find it tragic that i'm sat alone watching thistopc and eating ben and jerries but personally i feel no shame	positive	amy schumer
the only reason i keep going is that i get to see thistopc in june	positive	amy schumer
"""watching """"trainwreck"""" for the numbrnd time with my girls. hilarious!!! love thistopc! topc topc topc"	positive	amy schumer
"""watching 'inside thistopc' for the numbrst time. she's funny, sassy, smart, beautiful...&amp; sleeps with a teddy bear in one sketch. i'm hooked."""	positive	amy schumer
watching thistopc for the numbrst time...so funny! i must have been living under a rock or something	positive	amy schumer
watching thistopc: live at the apollo makes me so excited for sunday when twitteraddr brings twitteraddr	positive	amy schumer
"""watching the pogues's """"fairytale of ny"""" for the numbrth time today and is it just me or does kirsty maccoll look kinda like thistopc?"""	positive	amy schumer
well kid's it's friday. so rejoice. another week is done. the hell with trump i'm voting for thistopc.. white house bound   twitteraddr	positive	amy schumer
"""when it comes to body empowerment and feeling comfortable in your own skin, thistopc is the role model we look up to. on thursday"""	positive	amy schumer
who was the best 'saturday night live' host? thistopc. numbr% of voters agree with me. httpaddr	positive	amy schumer
who went to the first thistopc show on saturday? anyone who would be willing to talk to me about it? httpaddr	positive	amy schumer
"""will smith, thistopc and carey mulligan were among those honoured sunday at the hollywood film awards, with... httpaddr"	positive	amy schumer
"""in them to do it.  thistopc in ew, october twitteraddr is a fucking rock star &amp; i love her &amp; jesus f'ing christ we need more like this"""	positive	amy schumer
just another reason to love thistopc and here's a piece on the calendar.. httpaddr httpaddr	positive	amy schumer
"""more meta-textually, thistopc may be the worst movie in the marvel universe for gender roles. of its... httpaddr"	negative	ant-man
thistopc was the numbrst time i didn't stay for a marvel film's post credits scene. the film was just one big teaser. didn't need to see another.	negative	ant-man
as ridiculous as thistopc may have looked it was actually pretty damn good topc	negative	ant-man
"""more meta-textually, thistopc may be the worst movie in the marvel universe for gender roles. of its... httpaddr"	negative	ant-man
"""podgodz numbr: podgodz numbr recorded numbr july numbr i saw thistopc, i should not have. midroll sells to, i want to s... httpaddr"	negative	ant-man
reason why thistopc may have 'struggled' vs. other marvel? my parents assumed it was a parody.	negative	ant-man
"""sorry gang, numbrnd act of thistopc just kills my buzz. so boring and the writing is really bad. i'm hoping this stuff wasn't in wright's script."""	negative	ant-man
the only reason i'm watching thistopc is cause of numbr$ tuesday this is definitely something you wait to watch at home	negative	ant-man
twitteraddr can't spell star hotshots without the word short. go thistopc!!!  httpaddr	positive	ant-man
"""topc it's another 'yes para sa tres' for the """"thistopc"""" mark cruz! letran stil on top, numbr-numbr with numbr:numbr remaining in the numbrth!"""	positive	ant-man
"""topc it's another 'yes para sa tres' for the """"thistopc"""" mark cruz! letran still on top, numbr-numbr with numbr:numbr remaining in the numbrth!"""	positive	ant-man
"""// -- cinema this saturday. i would love to see thistopc, but he's not into marvel like i am, so i believe i'm gonna have to give it a miss."""	positive	ant-man
"""// so, i thought thistopc was out of the question for the cinema saturday but my boyfriend said the films he's seen are 'awesome' and that -"""	positive	ant-man
"""numbrrd time. antman with friends (@ rogers numbr theater for thistopc in rogers, mn) httpaddr"	positive	ant-man
numbr days off now! bit of golf on the agenda and a few other bits. looking forward to watching twitteraddr thistopc on thursday too!	positive	ant-man
twitteraddr i've got mon. off work &amp; i'm going to see thistopc movie in theaters. want to see it in numbrd.	positive	ant-man
twitteraddr saw thistopc at amc eastchase numbr in fort worth.  numbrst time at the theater.  great experience for my wife and me!	positive	ant-man
"""twitteraddr here it's numbr:numbr pm, i can be around that time but maaaybe i'll be gone since i may watch thistopc today"""	positive	ant-man
twitteraddr i finally saw thistopc on tuesday it was so good &amp; entertaining also i enjoyed the spider-man reference	positive	ant-man
twitteraddr we're going to see thistopc tomorrow. i figured it would seem even better in comparison after watching this. :)	positive	ant-man
twitteraddr twitteraddr twitteraddr just watched the show. great show. couldn't agree it's about thistopc. see ya thursday	positive	ant-man
twitteraddr thistopc was topc for the numbrnd straight week domestically.  never has this been more apropos.  httpaddr	positive	ant-man
twitteraddr so i'm a bit late but i watched thistopc. it was amazing and great job! can't wait for the numbrnd one!	positive	ant-man
"""twitteraddr hi eve, i hope you enjoyed thistopc! saverday tuesday is all day &amp; prices can be found here in future: httpaddr"	positive	ant-man
"""twitteraddr i went to see mission impossible rouge nation today, i really enjoyed it. have u seen it? i might go see thistopc tomorrow?"""	positive	ant-man
"""twitteraddr i had high expectactions when i watched because everyone was hyping it so much, i knew thistopc would be good after numbrst trailer"""	positive	ant-man
"""twitteraddr you definitely aren't, thistopc was my numbrnd favorite phase numbr flick right after winter soldier"""	positive	ant-man
twitteraddr took my son to see thistopc yesterday and the topc trailer played before. numbrst time seeing it on big screen. topc	positive	ant-man
"""twitteraddr probably see thistopc at the cinema tomorrow. ) i hope you enjoy your tea, i'm certain you will. x"""	positive	ant-man
"""twitteraddr there are a few winks in winter soldier and thistopc, various iron mans. largely, though, you may be right."""	positive	ant-man
"""twitteraddr twitteraddr i am so hyped for tomorrow, the clip at the end of thistopc was enough to get me excited"""	positive	ant-man
twitteraddr they are great aren't they - i have one from the thistopc wave coming tomorrow as i want to build the ultron figure.	positive	ant-man
"""twitteraddr yeah, thistopc fails on jan and her daughter, but it's still a better movie than ff according to reviewers i trust."""	positive	ant-man
"""twitteraddr horrible. diehard fans may love the hard r, but lots of people will pass. thistopc was fun, quirky, enjoyable. not this."""	positive	ant-man
"""twitteraddr twitteraddr  na if they know wa good for them it will be like thistopc, mar-vell would give carol danvers the mantle"""	positive	ant-man
"""twitteraddr yeah, on friday i went and saw two movies people bitch about - thistopc and minions. i had a good time! topc"	positive	ant-man
"""twitteraddr fair enough. unrelated, think i may go see thistopc again tomorrow if you're interested."""	positive	ant-man
"""twitteraddr i'm gonna see thistopc tomorrow, can't wait. (you seeeee, i'm doing theaters lol)"""	positive	ant-man
"""twitteraddr it's horrible, complete fail compared to the numbrst movie. rather watch thistopc or entourage."""	positive	ant-man
"""twitteraddr hoping to see thistopc tomorrow night at the everyman in reigate... apparently it's been refurbished and is pretty good,"""	positive	ant-man
twitteraddr you and me both. was chatting to twitteraddr about numbrth wall breaking after thistopc	positive	ant-man
twitteraddr do you want to see thistopc on tues?	positive	ant-man
twitteraddr my whole family is going to see thistopc on friday before they leave though	positive	ant-man
twitteraddr love winter soldier. incredibly close numbrrd cause of its ramifications on the mcu. but i had too much fun with thistopc.	positive	ant-man
"""twitteraddr i finally saw thistopc on tuesday i really enjoyed it, the movie was so good &amp; entertaining &amp; i enjoyed the spider-man reference"""	positive	ant-man
"""twitteraddr then again, this is coming from the girl who just saw thistopc for the numbrrd time"""	positive	ant-man
twitteraddr may still be out there (avengers).  am looking forward to thistopc and heard it si totally awesome!	positive	ant-man
"""twitteraddr i understand, you enjoy thistopc and assure you it will start on time when you return tomorrow"""	positive	ant-man
"""twitteraddr twitteraddr twitteraddr i'm a dumb, the missus booked a sofa at the electric tomorrow for thistopc. fancy it tomorrow?"""	positive	ant-man
a special tuesday night movie with nephew today.  we went to see thistopc. it was much better than i had anticipated. a nice old school vibe.	positive	ant-man
also good news  i'm going to go see thistopc tomorrow /twerktwerk	positive	ant-man
thistopc:                   screening:  sat &amp; sun @ numbr.numbrpm super tue @ numbr.numbrpm  armed with the astonishing ability... httpaddr	positive	ant-man
"""also tomorrow on httpaddr you'll find my review of thistopc. that's right bitches, i actually saw a new film at the cinema!"""	positive	ant-man
thistopc at amc cinema suites on a sunday afternoon is a great choice. good film. have to see it again cause missed twitteraddr scene	positive	ant-man
"""thistopc feels like a rough numbrst draft of the marvel universe (namely iron man) which it probably was, considering it's where it all started."""	positive	ant-man
"""thistopc felt like the numbrst ironman movie numbr me. that's good. it did feel like numbr films grafted onto each other. not as good, but not bad either"""	positive	ant-man
thistopc is here through the numbrth!! topc topc httpaddr	positive	ant-man
"""thistopc is important. no matter how small his role in civil war may actually be, he is still there for a reason. don't downplay him."""	positive	ant-man
thistopc is one of the funniest marvel movies we've watched. check out our spoiler free review! httpaddr httpaddr	positive	ant-man
"""thistopc may have cliched and formulaic structure, but it's a whole lot of fun.   the final numbr mins is superb."""	positive	ant-man
"""thistopc premieres tomorrow night in doha. a savior from the atrocity that was """"pixels."""""""	positive	ant-man
thistopc review coming tomorrow hope to see you all their! topc topc	positive	ant-man
"""thistopc starts tonight! pg-numbr.  showtimes numbrpm each night, numbr &amp; numbr weekends.  monday matinee, august numbrth.,  - fried... httpaddr"	positive	ant-man
thistopc starts tonight! runs fri-mon at numbr:numbrpm nightly &amp; is rated pg. see you at the movies :) httpaddr	positive	ant-man
thistopc takes a second week at the top of the box office:   while it may not be setting th... httpaddr via twitteraddr	positive	ant-man
thistopc tomorrow hopefully and i kind of want to give fantastic four a shot also .	positive	ant-man
"""thistopc tomorrow. looking forward to it, but some asshole ruined it for me."""	positive	ant-man
"""thistopc was brilliant. inside out was spectacular. what a great year for movies so far. loved today, just sat in the cinema!"""	positive	ant-man
thistopc was even better the numbrnd time	positive	ant-man
"""thistopc was high on my list to see, but didn't get the chance until tues night. it was such a fun movie! thistopc v falcon...classic!"""	positive	ant-man
"""thistopc was ok. loved the action, first hour dull, numbrnd hour great, villain was actually a good villain."""	positive	ant-man
thistopc was ok. nothing amazing but marvel evil for having me sit through the longest credits to see the numbrnd end credit scene.	positive	ant-man
"""thistopc, edge of tomorrow, inside out, inglourious basterds and obvious child (my favourite of the week) topc"	positive	ant-man
"""thistopc is getting good reviews, might have to go watch it sunday night"""	positive	ant-man
"""thistopc tops north american box office: marvel action flick """"thistopc"""" stayed atop the us box office sunday, ... httpaddr"	positive	ant-man
"""thistopc was good tho. and props to the guy who mention about the numbrnd extra scene at the end of the movie, you da real mvp."""	positive	ant-man
anybody want to see thistopc tomorrow?	positive	ant-man
"""anyway, i'm going to the theaters tomorrow to watch thistopc! i'm really excited. ;o;)b"""	positive	ant-man
back from thistopc for the numbrnd time! love that film.	positive	ant-man
"""back to work tomorrow so off to the cinema to finally watch thistopc with jackson. heard good things, plus it's marvel... it's gonna be mega!"""	positive	ant-man
"""been a little busy lately, just now getting to see thistopc. oh and i'm a child! @ west numbrst st. warren httpaddr"	positive	ant-man
"""been an ant based week, first seeing thistopc at the cinema. now visiting antwerp. maybe i'll finish with meeting ant &amp; dec? topc"	positive	ant-man
best part of thistopc is how hank pym's treasured photo of his wife covers up her actual face with a large sun hat.	positive	ant-man
box office: thistopc avoids a trainwreck with $numbr.numbr million friday for no. numbr ... - hitfix httpaddr	positive	ant-man
"""breakingnews: 'thistopc' wins box office for numbrnd weekend with $numbr.numbr million haul, edging out 'pixels' - usatoday httpaddr"	positive	ant-man
"""cannot wait to see thistopc and southpaw with twitteraddr tomorrow! i need this downtime, badly!"""	positive	ant-man
catching up on films tomorrow with numbrnd watch of thistopc in numbrd. then numbrst watch of maggie and southpaw.topc topc httpaddr	positive	ant-man
"""catching up on movies before they leave theaters.  trainwreck was as good as everyone says it is.  tomorrow, thistopc."""	positive	ant-man
congrats to disney for managing to keep thistopc as the topc movie for a numbrnd weekend with a paltry $numbr.numbr million take.  topc	positive	ant-man
continuing to bond with the offspring via marvel movies with another superhero saturday thanks to a very funny thistopc. topc	positive	ant-man
"""don't forget all films before numbrpm are just a fiver for all!  valid mon - fri only. book now and enjoy thistopc,... httpaddr"	positive	ant-man
dragon ball z tomorrow but i don't know if i want to wake up early to see it at numbr ... when i can see fnumbrntastic or thistopc at a later time	positive	ant-man
"""ends this thursday. have you seen marvel's """"thistopc"""" yet? httpaddr"	positive	ant-man
episode numbr: thistopc the comics is out now to hold you over until episode numbr arrives on wednesday! httpaddr	positive	ant-man
"""fyi, the inspiration numbr thistopc has been turned into a miniseries by twitteraddr and it's out tomorrow, topc topc"	positive	ant-man
fantastic four tomorrow will it be as good as thistopc we'll have to see	positive	ant-man
final shows for pixels &amp; thistopc are thursday! opening wednesday: shaun the sheep &amp; thursday: fantastic four!	positive	ant-man
"""finally going to see thistopc tonight, then off to see rogue nation either tomorrow or sunday. looking forward to both."""	positive	ant-man
finally going to watch thistopc tomorrow twitteraddr its still getting good ratings topc	positive	ant-man
finally got around to see thistopc and absolutely loved it. nice way to cap off an eventful saturday.	positive	ant-man
"""get paid on friday and all i can think about wanting to do is go to the cinema to watch thistopc, too many good looking films coming out"""	positive	ant-man
going to topc tomorrow. half expecting the box office girl to give me a sad look and say i can see thistopc a second time instead.	positive	ant-man
going to go see thistopc on monday morning. i have the best life.	positive	ant-man
going to go see thistopc tomorrow hope it's good	positive	ant-man
"""going to see thistopc today for the sunday matinee, just need to put the roast beef in the crockpot and i'm good to go! :d"""	positive	ant-man
"""going to the movies tomorrow to watch southpaw, paper towns, train wreck and then thistopc again."""	positive	ant-man
"""gonna go to the city this weekend (saturday most likely), shop a bit and watch thistopc, cause hell, i wanna see it!"""	positive	ant-man
gonna wait until tomorrow to see thistopc and take my ma with me.	positive	ant-man
got to love these three dedicated days of laziness. back to gyming it up tomorrow. before thistopc.	positive	ant-man
great to see sun girl in last days of thistopc. be great if she survived secret wars! do the right thing twitteraddr =) httpaddr	positive	ant-man
"""heroes! well, almost. these four lucky residents scored gigs in 'thistopc.' check out the story tomorrow! httpaddr"	positive	ant-man
"""had a slightly intoxicated conversation about daredevil, thistopc, civil war, &amp; the mcu. if that's not a successful wednesday, then what is?"""	positive	ant-man
had the chance to finally see both the fantastic four and thistopc. if i may indulge in a pun... big things do come from small packages.	positive	ant-man
"""he's a handsome devil, isn't he? catch him in thistopc, screening for the last time tomorrow! httpaddr httpaddr"	positive	ant-man
hey students! do you like movies? then join us tomorrow at cinemark numbr at numbr:numbr pm for thistopc! the movie starts at numbr:numbr pm. see you then!	positive	ant-man
hi twitteraddr how the editing of your new twitteraddr video coming along? up tomorrow ? waiting to watch it. thistopc opens here tomorrow	positive	ant-man
"""i *could* see thistopc today, or, i could see the live action attack on titan movie in theatres tomorrow...."""	positive	ant-man
i debate seeing thistopc tonight for the numbrrd time...do i?	positive	ant-man
"""i don't know what i'm more excited about - starting a new hubnumbr project, seeing thistopc or charlie coming home from greece tomorrow..."""	positive	ant-man
i finished first at timeplay when i saw thistopc tonight. i think i may have peaked. topc topc	positive	ant-man
"""i got numbr options on friday   suck it up and watch fantastic four  watch thistopc, again   or watch mission impossible:rogue mation"""	positive	ant-man
"""i had a really great time watching thistopc, reminded me of the numbrst time watching iron man , where the character tries to learn who he is"""	positive	ant-man
"""i had this written at like half numbr today and almost forgot to post it!  httpaddr  featuring wilco, thistopc, whas and more."""	positive	ant-man
i have my agent carter t shirt and my jan earrings. the concession stand guy said stay till the end. as prepared for thistopc as i can be?	positive	ant-man
"""i may be late to this party, but thistopc is a great movie! ranks among my top picks in the marvel cinematic universe, i didn't expect that"""	positive	ant-man
i need to get up early tomorrow and finally see thistopc.  my local cinema only has one showing and it is just after numbrpm.	positive	ant-man
i plan to see the fantastic numbr movie tuesday. i went to see age of ultron and thistopc the thursday night before.	positive	ant-man
"""i saw thistopc on friday night, but peeked in the showing of soc to see the response. packed showing with racial mix. httpaddr"	positive	ant-man
i should go watch thistopc tomorrow because i really want to watch it and have yet to see it.	positive	ant-man
i think the best stan lee cameo may be in thistopc. it had me laughing hard.	positive	ant-man
i want to trade an thistopc fig for this yellowjacket. all from twitteraddr june box. tweet if interested httpaddr	positive	ant-man
i watched thistopc for the numbrrd time today.	positive	ant-man
"""i would say, thistopc is probably my favorite movie of the year so far with mi: rogue nation at a very close numbrnd"""	positive	ant-man
i'll end the streak of bad movies tomorrow when i go to thistopc again	positive	ant-man
"""i'm desperate enough to go see thistopc, but it won't be out until august numbr here."""	positive	ant-man
"""i'm going to see thistopc. wednesday, numbr august numbr at numbr:numbr in newport - spytty park httpaddr topc"	positive	ant-man
i've decided to record the new comically on the history of thistopc a day early...i may even have it ready for release tomorrow.	positive	ant-man
"""if i can finish this final tonight, i'll be able to finally see thistopc tomorrow after work."""	positive	ant-man
if i feel up to going to mum's eye check up may try and see thistopc	positive	ant-man
if you liked thistopc you may enjoy law and the multiverse's discussion of the whole robbery/burglary distinction.  httpaddr	positive	ant-man
"""if you're having doubts about thistopc, just go and see it, you won't be disappointed. he may not be a major character, but the movie is good"""	positive	ant-man
ima just go catch a matinee of thistopc by myself tomorrow lol	positive	ant-man
in other news i saw thistopc! it may have a few flaws but i absolutely loved it! so funny and the character is brilliant	positive	ant-man
"""in other news, can't wait to see thistopc tomorrow night, hopefully it's what i expect"""	positive	ant-man
isn't that what a bruce jenner nephews call him? thistopc wins box office for numbrnd weekend with $numbr.numbrm twitteraddr httpaddr	positive	ant-man
it seems the rest of my life may just be convincing people to watch thistopc with me.	positive	ant-man
"""it's another sunday with perfect cinema weather, so head down for inside out and thistopc topc  book at httpaddr"	positive	ant-man
"""it's official: finally get to go see thistopc tomorrow!! first real day off in numbr months!! so stoked- no spoilers, marvel nation!!"""	positive	ant-man
it's the first of august and started off good with thistopc.	positive	ant-man
just found myself googling 'ant man quantum realm reflection'. i may be thinking about thistopc too much. it is ace though.	positive	ant-man
just saw thistopc in the theatre for the numbrrd time.  it's still super great.	positive	ant-man
last day for thistopc!  mission impossible rogue nation opens fri!  i am so impressed with this movie!  don't miss it! httpaddr	positive	ant-man
"""looks like thistopc is gonna hit topc for the numbrnd straight weekend. not to mention, also pass the $numbr million mark. not too shabby........"""	positive	ant-man
m:i numbr was... ok. nowhere near as awesome the numbrth was. glad i didn't spend $numbr at the theater for it. i would rather watch thistopc again.	positive	ant-man
many blessings lately: &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;got out to the theater last saturday to see thistopc . not only httpaddr	positive	ant-man
"""marvel kicks off the presentation! alan horn starts by praising thistopc's topc opening, which he says is marvel's numbrth consecutive topc opener."""	positive	ant-man
may go see thistopc tonight. anyone interested?	positive	ant-man
maybe on monday i'm going to see thistopc with the squad	positive	ant-man
michael douglas may not be coming back for another marvel film...he did so good in thistopc though	positive	ant-man
might just have to go see thistopc tomorrow	positive	ant-man
"""my cousin snapchatted me """"thistopc tomorrow. you good?"""" and these are the reasons we get along so well."""	positive	ant-man
my dad and sister will try out daredevil series tomorrow. they really liked thistopc when i recommended it to them...  hehehehehe!	positive	ant-man
my plan for tomorrow's surprise day off is to finally see thistopc.	positive	ant-man
"""no work for the rest of the week means thistopc tomorrow morning, followed by a trip to the comic shop, and much lazing about."""	positive	ant-man
"""nothing like finishing the last day back to work with friday's, and thistopc."""	positive	ant-man
now going to watch thistopc for a numbrnd time and drving everybody...	positive	ant-man
"""now that there's several numbrd showings of thistopc a day, maybe i'll actually see it... like tomorrow."""	positive	ant-man
"""ohhhhh, do i see mi:numbr or thistopc on friday at the cinema... hmmmm."""	positive	ant-man
"""okay, i forgive the makers of thistopc for omitting jan pym. it's a funny, exciting, heist film with a lot of honor to dads. go see it."""	positive	ant-man
or tomorrow i don't care but i want to watch thistopc	positive	ant-man
"""paid my bills, bought some groceries, did a bit of price-shopping on some clothes, and bought my ticket for thistopc later tonight. topc"	positive	ant-man
"""paul rudd stars as thistopc, showing tonight, tomorrow and sunday. rated pg-numbr. showtimes are at numbr:numbr each night.... httpaddr"	positive	ant-man
planning to watch thistopc tomorrow and see all the fuss about .... i hope i won't get disappointed .....	positive	ant-man
probably why marvel is waiting to show the civil war trailer until late sep/early oct to give ppl enough time to get caught up w/ thistopc	positive	ant-man
question... is thistopc any good? tempted to go watch it tomorrow	positive	ant-man
"""recording a new fanboy versus tomorrow with twitteraddr twitteraddr twitteraddr and twitteraddr talking fantastic four, thistopc and more!"""	positive	ant-man
"""snap!: thistopc even with this being my numbrnd time seeing it, thistopc still blew me away. best solo marvel film yet. topc"	positive	ant-man
"""saturday movie reviews: """"thistopc"""" is fun &amp; light httpaddr while """"woman in gold"""" is tugs at the heart httpaddr"	positive	ant-man
"""saw thistopc last sunday, and finally had time to draw it today.  httpaddr httpaddr"	positive	ant-man
saw thistopc on tuesday. great film. much more character driven than the big epic mcu films.	positive	ant-man
saw thistopc tonight and loved it! here's my blog review: httpaddr any views appreciated! topc topc	positive	ant-man
saw thistopc tonight with friends. my numbrrd time. fun.	positive	ant-man
"""seeing thistopc on monday, finally. numbrpm showing, so i'll be useless the next day. and i don't care."""	positive	ant-man
"""seeing thistopc tomorrow, flat, it just isn't worth $numbr *more* to see it in numbrd. we'll just have to use our imaginations."""	positive	ant-man
"""seeing thistopc for the numbrnd time (@ amc north point mall numbr - twitteraddr for thistopc in alpharetta, ga) httpaddr"	positive	ant-man
shoutout to twitteraddr for going with me to see thistopc (highly recommend) and scoring us free ice cream yesterday. best numbrnd to last day here	positive	ant-man
"""so.. finally saw twitteraddr in thistopc, i thin i may have zoned out starin at her tho cuz i remember nothing the guy said except """"yes"""""""	positive	ant-man
somehow i was able to enjoy the numbrnd half of thistopc in spite of my gleeful anticipation about all the ant-lamb jokes i couldn't wait to make	positive	ant-man
"""somehow got wrangled into seeing thistopc again tomorrow with another group of friends. ehh, i don't mind much tbh"""	positive	ant-man
star&gt;box office:thistopc stomps on the competition for numbrnd weekend at numbr:marvel studios' thistopc was numbr at t... httpaddr topc	positive	ant-man
"""still really want to see thistopc, hopefully tonight or tomorrow."""	positive	ant-man
summer is busy! saw thistopc with super heroes lilf and twitteraddr tomorrow minecraft with twitteraddr and twitteraddr	positive	ant-man
"""sunday recovery continues with this, then thistopc httpaddr"	positive	ant-man
"""sure, thistopc is a cool film, but make sure you know all your movie options. ... (vine by saturday night vine) httpaddr"	positive	ant-man
"""swapped out broken franken-part in my car, saw thistopc with family, took a nap, wrote for a bit, ate ice cream. saturday: victorious."""	positive	ant-man
tfw ur on ur way to see thistopc for the numbrrd time	positive	ant-man
"""the top numbr marvel cinematic universe films of phase numbr and phase numbr:  with the release of thistopc, phase numbr of mar... httpaddr"	positive	ant-man
the best cgi in thistopc isn't the ant scenes. it's that numbrst scene with michael douglas' face. topc	positive	ant-man
there are people who only watched thistopc for the upstate ny cameo and the numbrnd credit scene. civil war is going to be pretty big.	positive	ant-man
thought about seeing the new fantastic four movie today. passed and saw thistopc for a numbrnd time instead. lol topc topc	positive	ant-man
"""tickets to see thistopc with twitteraddr and twitteraddr this friday! looking forward to it, heard such mixed reactions to the film"""	positive	ant-man
tomorrow i wanna have dinner out and watch thistopc. who wants to come with me?	positive	ant-man
"""tomorrow is the last day to see thistopc so mission: impossible rogue nation can begin friday, july numbrst. to see... httpaddr"	positive	ant-man
took the day off work and treated babe to some big biscuit and saw thistopc. some monday's aren't too bad.	positive	ant-man
"""trying to get tickets to the """"thistopc"""" preview showings on wednesday. the theaters are fucking packed, bro. i'm kind of happy...paul rudd!"""	positive	ant-man
unexpected development-- saw thistopc on saturday night in london. it was surprisingly charming. i actually quite enjoyed it.	positive	ant-man
"""very excited to see thistopc tomorrow but after i've seen it, i will have seen all mcu films this yearaka i have to wait numbr months for another"""	positive	ant-man
was gonna see inside out again tomorrow but i found it a bit disappointing so we'll probably watch thistopc again	positive	ant-man
"""watched thistopc for the numbrnd time today, and thought of numbr more reasons to see it again: to catch the easter eggs and catalog its britishisms."""	positive	ant-man
